Job,Sex,LGBT,a1,a2,a3,a4,a5,a6,a7,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,c1,c2,c3,c4,c5,c6,c7,c8,c9,Level
3,0,0,1.5,0.5,0.5,0,0.5,0.5,3,5,4,4,2,3,3,5,5,3,3,3,3,3,3,0,2,2,2,2,2,0,1,1,0,2
0,1,0,0,0,0.5,0,1,0,2,5,4,5,1,4,2,4,5,4,3,2,2,3,3,0,0,2,1,1,0,2,0,1,0,1
5,0,0,1.5,0,0,0,0,0.5,2,4,4,5,1,4,3,5,3,4,3,4,2,2,3,0,2,1,2,1,2,0,0,0,0,1
3,1,0,1.5,0,0,0,1,0.5,3,4,3,3,2,3,3,5,5,4,4,4,3,3,3,0,0,0,1,1,1,1,1,1,1,1
3,0,0,1.5,0,0,0,1,0.5,3,5,3,5,3,5,3,5,5,5,5,3,5,5,5,0,1,1,1,1,1,1,1,1,1,1
4,0,0.5,2,0,0,0.5,1,0,3,4,3,4,2,2,1,4,4,4,4,3,4,4,4,4,2,1,0,2,2,0,0,1,0,1
7,0,0,2,0,0,0,0,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,1,0,0,0,0,0
3,0,0,1.5,0.5,0.5,0,1,0,3,5,4,5,3,4,3,5,5,5,5,4,5,5,5,1,2,2,1,3,1,2,2,2,1,3
2,0,0,1.5,0,0.5,0.5,1,0,2,4,2,5,2,3,1,5,3,3,3,4,4,3,2,1,2,1,0,2,1,1,2,1,2,2
3,0,0,1.5,0,0.5,0.5,0,0.5,3,5,1,5,5,3,1,1,4,3,3,3,3,3,3,0,3,1,0,0,1,0,1,0,0,1
4,1,0.5,1.5,0,0.5,0.5,1,1,2,5,1,5,1,3,1,3,5,5,3,5,3,3,3,0,0,0,0,0,2,0,0,0,0,0
4,1,0,2,0.5,0,1,1,0,3,4,2,5,1,3,3,3,4,3,4,2,4,3,5,0,3,2,3,3,3,2,3,2,0,4
5,1,0.5,1.5,0.5,0.5,0.5,0.5,1,3,4,3,5,3,4,1,2,3,3,4,1,3,4,4,0,2,3,1,2,1,1,0,0,0,2
2,1,0,2,0,0.5,0,1,1,2,5,3,5,2,3,3,4,2,4,4,5,5,4,4,0,2,1,0,2,1,0,0,2,0,1
3,1,0,1.5,0.5,0.5,0.5,0.5,0.5,3,5,2,5,3,4,3,5,4,5,3,3,4,3,3,0,1,1,0,0,1,0,1,0,0,0
3,1,0,2,0,0,0,1,0.5,3,5,3,3,2,2,3,3,5,4,2,4,4,2,1,0,1,2,0,2,2,1,0,1,0,1
2,1,0.5,1.5,0,0,0.5,0.5,1,1,4,3,4,2,3,3,3,4,4,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0
4,1,0,1.5,0.5,0.5,1,0.5,1,5,3,5,5,3,5,1,5,3,1,5,3,5,3,1,4,3,2,3,2,1,2,3,2,3,4
3,1,0,1.5,0.5,0,0,1,1,3,5,3,4,4,5,2,4,5,4,5,2,4,5,3,0,0,2,1,1,1,1,1,1,0,1
4,0,1,2,1,1,1,0.5,0,3,5,4,5,1,5,2,4,5,2,5,2,4,5,5,4,3,3,2,3,3,3,3,3,3,4
3,1,0,1,0,1,0.5,0.5,0,3,4,3,4,2,3,3,4,3,4,3,3,2,3,3,2,2,1,1,1,1,1,2,1,0,2
2,1,0,2,0.5,1,1,0,1,3,5,4,5,2,4,1,3,5,3,5,4,1,5,5,1,1,2,1,2,3,3,3,3,3,4
2,0,0,1.5,0.5,0,0.5,1,1,3,4,3,5,3,3,2,5,5,4,4,4,4,4,3,2,2,1,0,1,1,1,1,1,1,1
3,1,0,0,0,0.5,0.5,1,0.5,1,4,4,5,3,3,3,5,4,4,4,4,2,2,2,1,0,1,1,3,2,0,1,0,0,1
5,0,0,2,0.5,1,0.5,0,0.5,3,5,3,5,2,3,2,1,1,2,5,3,5,4,5,2,2,2,3,3,3,1,3,2,2,4
1,1,0,2,0,0,0,1,0.5,1,3,2,3,1,4,3,3,4,3,5,4,2,3,2,0,1,1,2,1,2,2,2,2,2,3
3,1,0,1.5,0,0.5,0.5,0.5,0.5,2,4,1,5,4,2,5,5,5,3,1,2,3,4,1,0,1,1,0,0,1,0,0,0,0,0
3,1,0,0,0.5,0.5,0.5,0,0,1,5,1,5,3,1,1,1,1,1,1,2,1,2,2,0,0,3,3,3,3,3,3,3,0,4
2,1,0,1.5,0,0,0,0.5,1,1,5,2,4,3,1,1,1,4,4,4,4,4,4,4,0,0,0,0,0,1,0,0,0,0,0
4,0,0,2,0.5,1,0.5,0.5,1,3,4,2,4,2,3,3,3,4,4,4,4,4,4,4,1,1,1,0,0,0,0,0,0,0,0
7,0,0,2,0,0.5,1,0,0,3,5,3,1,1,4,3,5,5,4,3,5,1,1,1,0,1,1,0,1,2,2,0,1,0,1
3,1,1,1.5,0.5,0,0.5,1,1,3,5,3,5,1,3,4,4,4,3,3,4,4,3,2,0,0,1,0,1,2,0,1,1,0,1
3,0,0,2,0,0.5,0.5,0,0,3,4,1,5,2,2,2,4,5,5,3,4,1,2,1,0,1,2,0,0,0,1,1,2,0,1
4,0,0,1.5,0.5,0.5,0.5,1,0.5,1,5,3,5,2,2,2,5,4,4,4,4,3,2,3,0,0,1,1,1,1,1,1,1,0,1
3,1,0,2,0,0.5,0.5,1,0.5,1,4,3,4,1,2,1,1,3,3,4,3,1,4,4,0,1,1,1,1,1,1,1,1,0,1
2,0,0,1.5,0.5,0.5,0.5,1,0.5,2,4,3,5,4,3,3,1,4,3,4,3,3,4,4,1,1,1,0,1,1,1,1,0,1,1
3,1,0,1.5,0,0,0.5,0.5,1,3,3,3,4,2,3,2,4,5,4,5,3,3,4,3,1,0,1,0,2,2,1,1,0,0,1
0,0,0,2,0,0.5,1,0.5,0.5,3,4,3,4,1,3,1,2,5,1,5,3,4,5,4,0,2,2,3,3,1,2,2,2,0,3
2,1,1,2,0,0.5,1,0.5,0.5,3,5,1,3,5,2,2,3,4,3,4,3,3,3,2,0,1,1,1,1,2,0,2,1,0,1
7,0,0,1.5,0,0.5,1,1,0,3,4,4,2,3,4,1,5,5,1,2,1,1,1,2,4,1,2,3,1,1,1,2,1,1,2
7,0,0,1.5,0.5,0.5,1,0.5,1,3,2,1,1,3,1,2,5,3,2,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1
3,1,0,1.5,0.5,0,0,1,0.5,5,5,4,4,2,3,2,3,3,3,4,3,3,3,3,1,0,1,0,1,0,1,0,2,0,1
4,0,0,1.5,0.5,1,1,0,1,3,5,3,5,2,2,1,5,3,1,4,5,5,5,5,0,3,2,1,3,1,3,3,2,0,3
2,0,0,1.5,0.5,0.5,0.5,0.5,1,3,4,2,4,1,3,4,4,3,4,3,3,4,4,3,0,1,1,0,1,1,1,1,0,0,1
3,0,0,1.5,0,0.5,0.5,0.5,0,3,5,4,5,2,4,3,5,5,3,2,3,4,2,2,2,2,3,1,3,1,2,2,2,2,3
0,0,0,1.5,0,0.5,0.5,1,0.5,3,4,1,4,4,2,3,5,4,4,3,3,3,4,2,0,0,1,0,2,1,0,1,1,0,1
1,1,0,1.5,0.5,0.5,0.5,1,1,3,4,3,4,3,3,1,4,4,3,4,3,3,3,4,1,1,1,1,1,2,1,1,2,2,2
3,1,0,1.5,0,0,0,1,1,2,2,1,4,2,3,2,3,4,3,3,3,4,3,3,0,0,0,0,2,1,1,1,1,0,1
2,1,0,2,0,0.5,0.5,1,1,2,4,3,3,3,3,1,5,5,3,2,3,4,3,3,0,1,1,2,1,1,1,1,1,0,1
2,1,0,1.5,0,0.5,0.5,1,0,3,4,4,3,2,4,2,1,5,3,3,4,5,1,3,0,1,2,2,1,1,1,2,1,0,2
3,1,0,1.5,0,0.5,0.5,0.5,0.5,5,5,3,5,3,3,3,5,5,5,3,3,3,3,3,1,2,3,1,0,3,2,2,2,1,3
2,1,0,2,0.5,1,0.5,0.5,0.5,3,4,4,4,4,4,3,4,3,3,2,3,3,4,3,2,3,3,2,3,1,1,1,3,1,3
0,1,0,2,0,0,0,1,1,1,4,3,2,2,2,5,3,4,5,3,3,4,3,2,0,2,1,0,1,0,0,0,0,0,0
2,1,0,2,0,0,1,1,0.5,3,5,1,4,1,3,1,4,5,4,3,4,4,4,4,2,2,2,1,2,1,2,2,2,2,3
3,0,0,1,0,0,0,0.5,0.5,1,4,3,4,3,3,4,5,3,3,2,3,1,3,2,0,1,1,0,1,0,0,0,1,0,0
3,1,0,1.5,0,0,0.5,1,1,3,5,3,3,5,3,1,3,5,3,3,3,3,3,1,0,3,1,0,3,0,2,1,2,0,2
2,1,0,1,0,0,0,1,0.5,2,5,3,5,3,2,3,5,5,4,3,3,3,3,3,0,2,1,1,1,1,1,1,1,1,2
5,0,0,1.5,0,0,0,1,1,1,3,2,5,1,3,5,5,5,5,2,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0
4,1,0,2,0,0,0,1,0,3,3,4,3,2,5,4,4,5,4,5,4,5,2,5,1,1,1,0,0,1,1,1,0,0,1
3,0,0,1.5,0,0,0,0.5,0.5,3,4,2,4,1,3,3,4,4,4,2,3,4,3,2,0,1,1,1,1,1,0,0,1,0,1
3,0,0,1.5,0,0,0,1,0.5,1,5,4,5,3,3,5,4,4,5,5,5,5,5,5,1,2,1,0,1,1,0,1,0,0,1
2,0,0,2,0,0,0.5,0.5,0.5,2,4,2,5,2,3,2,1,4,3,2,2,1,2,2,0,1,1,1,2,2,0,1,1,0,1
2,1,0.5,1,0.5,0.5,0.5,1,1,3,3,4,4,1,4,2,3,4,3,3,2,1,3,3,0,1,1,1,0,1,1,1,0,0,1
2,1,0,1.5,0,0,0,0.5,0.5,3,4,2,3,3,2,5,3,5,5,3,3,3,3,3,1,1,2,2,3,2,2,2,2,2,3
3,0,0,1,0,0,0,1,1,2,5,1,3,3,2,3,3,4,4,2,2,3,4,3,0,0,0,0,1,2,0,0,0,0,0
4,0,0,2,0.5,0.5,1,0,0.5,2,5,1,3,2,1,2,3,5,3,5,3,2,4,5,2,1,1,1,2,1,0,1,1,0,1
3,0,0,1.5,0.5,0.5,0.5,1,1,3,4,4,4,3,4,3,3,2,3,4,4,4,4,4,0,2,2,2,2,1,0,0,0,0,1
2,1,1,1.5,0,0,0,0.5,0,2,5,1,5,1,3,4,5,5,3,1,3,4,1,1,1,2,2,1,0,2,1,1,3,1,2
5,1,0,1.5,0.5,0.5,0.5,0,0.5,3,4,4,5,3,4,3,4,1,3,4,4,4,4,4,0,2,2,2,2,2,1,1,1,1,2
1,1,0,2,1,0.5,1,0,1,3,5,3,2,2,3,2,4,4,3,4,5,1,2,3,1,2,1,3,3,1,1,2,2,1,3
3,0,0,1.5,0,0,0,1,1,2,4,1,5,3,4,2,5,5,3,4,1,5,5,5,0,1,0,0,0,0,0,0,0,0,0
7,1,0,2,0,1,1,0.5,0.5,2,5,5,5,2,5,2,4,5,1,5,4,5,5,5,3,1,2,3,1,2,2,3,3,1,3
3,1,0,1.5,0.5,0.5,0.5,1,0.5,4,4,3,4,3,3,2,4,3,2,4,4,4,3,3,0,2,1,1,2,1,1,1,1,0,2
3,0,0,2,0.5,0.5,0.5,0,0.5,3,5,4,4,2,3,3,3,5,3,5,3,3,3,3,4,1,1,1,2,2,1,2,2,2,2
3,0,0.5,0,1,1,1,0.5,0,3,5,4,3,5,4,3,4,5,4,4,3,3,4,4,1,3,3,3,3,3,3,3,3,3,4
5,0,0,2,0,0.5,0,0,1,2,5,2,4,1,2,2,3,3,5,5,5,4,5,1,1,2,2,3,2,3,1,1,1,0,3
2,0,0,1,0,0,0,0.5,0.5,3,4,4,4,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1.5,0.5,1,0.5,0,0.5,2,5,4,5,1,2,1,5,3,4,5,3,3,4,3,0,3,2,1,1,2,1,1,1,1,2
4,0,0,2,1,1,0.5,0,0,3,5,5,2,2,5,2,4,5,2,5,1,5,5,5,1,2,3,1,2,3,3,2,3,2,4
3,1,0,1,0,0,0.5,1,1,3,5,5,3,1,5,1,5,5,3,3,3,4,5,1,0,1,1,3,2,1,1,1,1,0,2
3,1,0,1.5,0,0,0.5,0,1,3,4,3,3,3,3,2,5,5,4,4,3,3,4,4,0,2,0,0,1,1,0,0,0,0,0
4,1,0,2,0,1,1,0,0.5,3,4,2,4,3,3,2,5,3,2,5,3,4,4,5,1,2,3,3,3,3,3,3,3,1,4
3,0,0,1.5,0,0,0.5,0.5,0.5,1,4,2,5,2,2,2,4,3,5,4,5,5,5,4,0,2,2,0,1,1,0,0,1,0,1
2,1,0,0,0.5,0.5,0.5,0.5,1,5,5,4,5,3,4,1,4,5,2,4,3,1,3,4,1,2,2,2,2,3,3,2,2,2,4
4,1,0,1.5,0.5,0.5,0.5,0.5,0.5,2,3,3,4,1,3,3,4,4,3,4,3,4,3,3,1,2,2,2,2,2,2,1,2,1,3
3,0,0,1.5,0,0,0.5,0.5,0.5,3,5,1,3,1,3,1,1,3,3,5,3,2,2,2,0,1,1,0,1,0,0,0,1,0,0
3,1,1,1,0,0,0.5,0.5,0,3,5,3,3,4,3,3,4,5,4,5,2,2,4,2,1,0,0,0,0,1,0,0,0,0,0
3,1,0,0,0,0.5,0.5,0.5,0.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,1,2,3,2,3
4,1,0,1.5,0,0.5,0.5,0.5,0.5,3,4,2,2,1,3,2,1,5,2,4,2,1,3,1,0,0,1,1,0,1,0,1,0,0,0
3,0,0,2,0,0,0,0.5,1,3,4,3,5,3,3,3,5,5,4,4,3,4,4,4,0,0,1,0,0,1,0,0,0,0,0
3,0,0,1,0,0,0.5,0.5,1,3,5,5,5,2,4,1,5,3,5,3,2,5,5,3,4,0,1,0,3,0,1,2,1,3,2
3,1,0,1.5,0,0.5,0,1,1,2,3,2,1,3,3,3,5,5,5,5,3,5,5,5,0,1,2,1,1,3,1,0,0,0,1
3,0,0,1,0,0.5,0.5,0,1,3,5,2,3,2,3,4,5,5,2,5,4,3,4,5,1,1,0,1,3,3,0,0,1,0,1
3,0,0,1.5,0,0.5,1,0,0.5,3,5,3,4,4,3,4,4,5,3,4,4,4,4,4,1,1,2,0,2,1,1,2,1,1,2
5,1,0,2,0,0.5,0,1,1,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,0,2,1,1,1,1,1,1,1,1,2
1,0,1,0,0.5,0.5,0.5,0,0.5,3,3,3,2,3,3,2,3,4,2,3,2,2,4,3,0,3,1,1,3,2,1,1,1,2,3
2,0,0,1.5,0.5,0,0.5,0,0.5,3,5,1,2,3,1,1,4,3,3,3,3,3,3,3,0,0,1,0,1,2,2,1,2,2,2
2,1,0,1,0,0,0,0.5,0.5,2,4,1,4,3,3,4,4,5,5,2,5,4,2,1,0,1,2,1,2,2,1,0,1,0,2
2,0,0,1,0,0,0.5,0.5,0.5,5,4,4,4,4,4,3,4,3,3,3,3,3,3,3,0,1,1,1,1,1,1,1,1,1,1
4,0,0,1.5,0.5,0.5,0.5,1,0.5,2,4,4,5,2,2,2,4,3,1,5,1,5,4,5,4,2,1,0,3,1,3,3,1,2,3
2,0,0,1.5,0,0,0,1,1,1,3,1,4,1,1,1,5,3,3,3,3,3,4,1,0,1,1,0,2,1,0,0,0,0,1
2,1,0,1.5,0,0,0,1,0.5,1,4,1,5,1,1,3,5,5,5,1,2,5,4,1,0,0,1,0,0,1,0,0,0,0,0
2,1,0,1.5,0.5,0.5,0,0.5,1,3,4,1,2,2,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,1,0,0,0,0,0
4,0,0,1.5,0,0,0.5,0,0,1,3,3,3,3,3,3,3,4,4,3,3,3,3,3,0,3,1,0,2,1,0,1,0,0,1
4,1,0,2,0,0,0,1,1,1,2,3,5,1,5,3,5,5,1,3,1,5,3,3,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1.5,1,1,1,0.5,1,2,5,5,5,4,3,1,5,3,3,3,3,2,4,5,0,2,3,2,1,2,2,2,2,2,3
2,1,0,1.5,0,0.5,0.5,1,1,3,5,4,4,4,3,1,3,3,4,4,3,2,2,2,0,0,0,0,1,0,0,1,0,0,0
4,0,0,1.5,0.5,0.5,0.5,0.5,1,3,5,3,3,5,3,3,3,4,4,4,3,4,4,4,1,1,1,0,1,1,1,1,1,0,1
3,0,0,1.5,0.5,0.5,0.5,0.5,0.5,3,4,3,5,3,4,2,5,4,3,4,3,2,2,2,2,2,2,1,3,1,1,1,1,0,2
7,0,0.5,2,1,1,0.5,1,0.5,3,5,2,3,1,3,3,3,5,3,5,3,4,4,5,2,2,2,0,2,3,0,1,1,2,2
4,0,0,1.5,0.5,0.5,0.5,1,1,3,5,3,4,2,3,2,5,1,5,2,2,3,3,3,1,1,1,1,1,1,1,1,1,0,1
4,1,0,2,1,1,0.5,1,0,3,5,4,5,2,5,3,5,1,2,3,2,4,4,4,1,2,2,2,2,2,2,2,2,2,3
4,1,1,2,0,0.5,0.5,1,1,3,3,2,3,2,3,2,3,3,2,4,3,2,3,3,2,0,1,0,0,0,1,0,1,0,0
7,1,0,1.5,0,0.5,0,1,1,2,4,4,3,4,5,2,5,5,2,4,3,1,3,4,0,0,1,0,2,1,2,1,2,0,1
2,1,0,2,1,0.5,1,0.5,0,3,4,4,3,3,3,2,3,4,3,5,1,2,4,5,2,2,2,2,2,2,3,3,2,2,4
3,1,0,1,0,0,1,0.5,0.5,3,5,4,3,2,3,3,3,3,4,3,2,2,2,3,0,2,1,1,2,1,0,1,1,1,2
3,1,0,2,0,0,0,0.5,1,1,3,5,5,1,5,2,4,5,3,4,4,5,4,3,1,2,2,1,2,1,1,0,1,1,2
3,0,0,1.5,0.5,0,1,0.5,1,5,3,2,4,3,3,2,5,2,2,4,3,2,4,3,0,2,3,0,2,3,2,2,1,1,3
3,0,0.5,1.5,0.5,0.5,0.5,1,1,3,4,3,5,2,4,2,4,4,3,4,3,2,4,4,0,2,2,1,1,2,1,2,2,1,2
5,0,0,1.5,0,0,0.5,0.5,0,1,4,3,5,5,3,4,4,4,4,4,5,3,3,3,0,0,1,0,0,1,0,0,0,0,0
3,0,0,1,0.5,0.5,1,0.5,0.5,3,4,3,5,3,2,3,5,5,5,4,3,1,4,4,0,3,3,2,3,1,2,2,1,0,3
1,0,0,0,0.5,0.5,0.5,0,0,4,5,4,3,4,4,2,2,5,3,3,3,1,3,1,2,3,1,1,3,1,1,3,1,0,2
2,0,0,1.5,0,0.5,0,1,0,3,5,5,5,5,5,4,5,5,3,4,3,5,5,4,0,2,0,0,2,1,1,1,0,0,1
1,0,1,1.5,0,0.5,1,0.5,0.5,1,5,5,4,2,4,1,4,5,4,5,3,4,4,4,1,1,1,0,0,1,1,1,1,0,1
2,1,0,1.5,0,0,0.5,0,0,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,0,2,3,2,3,2,3,2,3,3,4
2,1,0,1,0,0,0,1,1,3,4,3,5,1,2,4,3,5,3,4,3,2,5,3,0,2,1,0,2,0,0,0,0,0,1
0,1,0,1,0.5,1,0.5,0,0,3,5,3,1,3,3,2,3,5,3,3,1,2,1,3,0,1,2,2,2,2,2,2,2,0,3
3,0,0,2,1,1,0.5,1,1,2,5,2,5,1,3,1,4,5,4,4,2,5,3,5,4,1,3,3,2,3,1,1,3,1,3
7,0,0,2,0,0,0,0,0.5,3,4,2,5,2,4,2,4,3,3,2,4,5,5,4,1,2,1,0,2,0,0,1,0,1,1
2,1,0,1,0,0,0,1,0.5,2,4,4,2,1,4,5,3,4,5,2,3,1,2,1,0,1,2,1,1,1,0,0,0,0,1
3,0,0,2,0.5,0.5,0.5,0.5,0,3,5,3,2,4,3,1,1,3,3,1,3,3,4,5,4,1,2,3,3,2,1,2,1,2,3
3,0,0,1.5,0.5,0,1,0.5,0,3,5,5,4,3,5,1,5,5,2,4,3,5,5,4,1,2,3,2,2,2,2,3,3,2,4
3,1,0,2,0,0.5,0.5,1,0,1,4,2,5,2,4,1,2,5,1,4,3,2,2,4,0,0,1,0,3,1,0,0,0,0,1
3,1,0,1.5,0.5,0,0.5,0,0,2,4,1,5,2,3,1,1,5,4,3,3,4,4,4,0,2,1,0,0,1,0,0,1,0,1
3,0,0,1.5,0,0.5,0.5,0.5,0.5,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,0,1,1,1,1,1,1,1,1,1,1
2,1,0,1.5,0,0,0,1,0.5,5,5,3,5,2,5,1,5,5,3,5,3,3,3,1,0,0,0,0,0,2,1,2,0,1,1
4,1,0,1,0.5,0,0,1,1,3,2,3,4,1,2,1,5,5,1,1,2,1,5,1,0,3,1,0,0,1,0,1,3,0,1
3,1,0,1.5,0.5,0,0.5,1,1,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,2,1,2,1,1,1,1,2,2,1,2
7,0,0,2,0.5,1,1,0,0.5,2,4,2,3,1,5,4,4,4,3,5,3,4,5,5,4,1,3,3,3,3,3,3,3,1,4
4,1,0,2,0,0,0.5,0.5,0,2,5,3,1,2,2,4,5,2,4,1,3,1,3,1,1,2,1,0,3,2,0,1,0,0,1
2,0,0,1.5,0.5,0.5,0.5,1,0.5,3,4,4,2,4,4,3,5,5,4,5,5,1,2,5,0,1,1,0,1,1,0,0,1,0,1
2,0,0,1.5,0.5,0.5,1,0,0.5,3,5,2,3,3,3,3,3,4,3,4,4,4,3,4,4,2,1,0,2,2,1,1,1,1,2
2,0,0,1.5,0.5,0.5,0.5,0.5,1,3,3,1,5,4,3,1,5,5,1,5,3,3,5,5,1,3,1,1,3,1,1,3,1,1,3
2,0,0,1.5,0.5,1,1,0.5,0.5,1,4,4,5,3,3,1,1,4,4,4,3,4,4,4,0,2,2,3,2,1,2,2,2,2,3
3,1,0,2,0,0.5,0.5,0,1,3,5,4,5,1,5,4,4,4,4,4,2,3,2,3,0,2,1,0,2,0,0,1,0,0,1
5,0,0,2,1,1,0.5,0,1,5,5,3,5,3,2,1,3,5,5,5,3,4,5,4,1,2,3,2,2,3,2,3,3,1,4
2,1,0,1.5,0,0,0,1,0.5,3,4,2,2,5,2,2,1,4,3,3,3,1,4,1,0,2,1,0,0,1,0,0,0,0,0
2,1,0,2,0.5,0.5,0.5,0,0.5,1,5,3,4,1,4,1,1,3,3,3,3,4,3,3,1,2,2,2,2,1,2,2,2,2,3
2,0,0,0,0.5,0.5,1,0,1,3,4,2,5,3,2,3,2,4,5,4,4,4,5,5,0,0,1,0,0,3,0,2,2,0,1
1,1,0,2,0,0.5,1,1,1,3,4,2,3,1,4,2,5,4,3,3,2,3,4,2,0,1,2,0,2,1,1,1,2,0,2
3,1,0,2,0.5,1,1,0.5,1,3,5,4,3,2,4,2,4,5,4,5,2,1,5,1,4,2,2,3,3,3,2,1,3,1,4
3,0,0,2,1,1,1,0.5,0.5,3,5,5,5,2,5,2,4,5,2,5,2,4,4,5,4,3,3,3,3,3,3,3,3,3,4
3,0,0,1.5,0.5,1,0.5,0.5,0.5,2,4,3,5,3,5,4,4,5,4,5,4,4,4,5,0,3,3,2,3,2,3,2,1,0,3
2,0,1,1.5,0.5,0.5,0.5,1,0,3,5,4,5,3,3,3,5,5,4,3,5,5,3,3,3,2,1,1,3,1,2,1,2,2,3
3,1,0,1.5,0,0,0,1,0.5,1,5,3,3,3,1,2,3,3,5,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1.5,0.5,0.5,0.5,1,0.5,3,4,2,4,3,4,3,5,5,4,3,5,5,3,2,0,1,1,1,1,2,2,1,2,0,2
3,1,0,2,0,0,0,1,0.5,1,3,5,1,1,5,1,3,5,3,3,3,5,1,2,1,0,2,2,2,3,0,1,1,2,2
1,0,0,2,0,1,0,1,1,2,5,5,5,1,5,1,5,1,1,5,1,5,5,5,4,3,0,1,3,0,2,2,3,3,3
7,0,0,2,0,0.5,1,0.5,1,3,5,3,2,2,3,3,5,4,3,5,3,1,3,4,0,0,1,2,1,0,0,1,2,0,1
3,1,0,1,0.5,0.5,0.5,0.5,0,2,4,1,5,2,4,2,5,5,3,5,4,1,3,2,1,1,0,0,2,0,1,0,1,2,1
